Decimal, Binary, Hexadecimal
-39, , 
-36, , 
8, 1000, 8
34, 100010, 22
17, 10001, 11
49, 110001, 31
5, 101, 5
Invalid data at line 8: 'ABC'
0, 0, 0
33, 100001, 21
12, 1100, C
-6, , 
27, 11011, 1B
-4, , 
-38, , 
26, 11010, 1A
49, 110001, 31
29, 11101, 1D
42, 101010, 2A
-16, , 
Invalid data at line 21: 'ERR'
34, 100010, 22
20, 10100, 14
0, 0, 0
25, 11001, 19
45, 101101, 2D
3, 11, 3
-46, , 
-46, , 
29, 11101, 1D
33, 100001, 21
29, 11101, 1D
26, 11010, 1A
-5, , 
-36, , 
12, 1100, C
45, 101101, 2D
-50, , 
0, 0, 0
-6, , 
Invalid data at line 41: 'VAL'
Time elapsed: 0.0011 seconds
